model,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_r2_mean,test_rmse,test_mae,test_r2
random_forest,4895.124459125178,18.02518164575056,2806.8607591140376,0.9533936712714004,4885.686312319642,2597.6964166666667,0.9535519237238673
xgboost,4955.9190695863845,120.12064607121424,2924.5932505803016,0.9522676134738729,5038.536426398783,2907.686607055664,0.9506001786784006
gradient_boosting,5161.804096041232,197.56965899494892,3079.9921600001812,0.9481108756281627,5401.050599243307,3142.685972849257,0.9432359904227817
lightgbm,5187.813919616266,300.50070078544024,3095.4689487928567,0.9477405817065413,5402.216746095915,3075.3523692192753,0.9432114758154734
bagging,5130.908016531562,162.22862394596564,3039.5995441123437,0.9488851832082582,5425.612321233136,3005.0036332147465,0.9427185385064139
decision_tree,5453.515947470605,31.686820218744447,3306.1519458548573,0.9421525378076511,5707.285000530964,3318.2001820493692,0.9366165764716963
ridge,6984.096452449513,386.6765929197954,4782.946440052596,0.9051089078389177,6471.508791319716,4486.357815721379,0.9185056193083676
lasso,8637.823553910037,972.3350665931476,6220.638127138249,0.8526238647082941,9849.565271969146,6971.645089553512,0.8112222967892021
linear_regression,8637.431432250962,989.1115252654538,6228.002765426457,0.8525678691687455,10365.009893788974,7254.086022334976,0.7909471875025931
dummy_mean,22713.981150924028,556.4029293378305,19598.55323743032,-0.0019839908451112867,22680.366632713998,19620.626587500003,-0.0009599804571622794
